Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity
10_81,,0,85,1,{0},85,0.0
10_82,,-2,63,1,{2},63,0.0
10_83,,2,83,1,{-2},83,0.0
10_84,,-2,87,1,{2},87,0.0
10_85,,4,57,1,{-4},57,0.0
10_86,,0,85,1,{0},85,0.0
10_87,,0,81,1,{0},81,0.0
10_88,,0,101,1,{0},101,0.0
10_89,,2,99,1,{-2},99,0.0
10_90,,0,77,1,{0},77,0.0
10_91,,0,73,1,{0},73,0.0
10_92,,-4,89,1,{4},89,0.0
10_93,,2,67,1,{-2},67,0.0
10_94,,-2,71,1,{2},71,0.0
10_95,,2,91,1,{-2},91,0.0
10_96,,0,93,1,{0},93,0.0
10_97,,-2,87,1,{2},87,0.0
10_98,,-4,81,1,{4},81,0.0
10_99,,0,81,1,{0},81,0.0
10_100,,4,65,1,{-4},65,0.0
10_101,,-4,85,1,{4},85,0.0
10_102,,0,73,1,{0},73,0.0
10_103,,2,75,1,{-2},75,0.0
10_104,,0,77,1,{0},77,0.0
10_105,,-2,91,1,{2},91,0.0
10_106,,-2,75,1,{2},75,0.0
10_107,,0,93,1,{0},93,0.0
10_108,,-2,63,1,{2},63,0.0
10_109,,0,85,1,{0},85,0.0
10_110,,-2,83,1,{2},83,0.0
10_111,,-4,77,1,{4},77,0.0
10_112,,2,87,1,{-2},87,0.0
10_113,,-2,111,1,{2},111,0.0
10_114,,0,93,1,{0},93,0.0
10_115,,0,109,1,{0},109,0.0
10_116,,2,95,1,{-2},95,0.0
10_117,,2,103,1,{-2},103,0.0
10_118,,0,97,1,{0},97,0.0
10_119,,0,101,1,{0},101,0.0
10_120,,-4,105,1,{4},105,0.0
10_121,,-2,115,1,{2},115,0.0
10_122,,0,105,1,{0},105,0.0
10_123,,0,121,1,{0},121,0.0
10_126,,2,19,1,{-2},19,0.0
10_127,,-4,29,1,{4},29,0.0
10_129,,0,25,1,{0},25,0.0
10_130,,0,17,1,{0},17,0.0
10_131,,-2,31,1,{2},31,0.0
10_133,,-2,19,1,{2},19,0.0
10_135,,0,37,1,{0},37,0.0
10_137,,0,25,1,{0},25,0.0
10_140,,0,9,1,{0},9,1.0
10_141,,0,21,1,{0},21,0.0
10_143,,2,27,1,{-2},27,0.0
10_144,,-2,39,1,{2},39,0.0
10_146,,0,33,1,{0},33,0.0
10_147,,-2,27,1,{2},27,0.0
10_148,,2,31,1,{-2},31,0.0
10_149,,-4,41,1,{4},41,0.0
10_150,,-4,29,1,{4},29,0.0
10_151,,2,43,1,{-2},43,0.0
10_155,,0,25,1,{0},25,0.0
10_156,,2,35,1,{-2},35,0.0
10_157,,4,49,1,{-4},49,0.0
10_158,,0,45,1,{0},45,0.0
10_159,,-2,39,1,{2},39,0.0
10_162,,2,35,1,{-2},35,0.0
10_163,,-2,51,1,{2},51,0.0
10_164,,0,45,1,{0},45,0.0
10_165,,2,39,1,{-2},39,0.0
11a_2,,-4,137,1,{4},137,0.0
11a_3,,2,115,1,{-2},115,0.0
11a_4,,0,97,1,{0},97,0.0
11a_5,,0,125,1,{0},125,0.0
11a_6,,-2,135,1,{2},135,0.0
11a_7,,2,95,1,{-2},95,0.0
11a_8,,0,117,1,{0},117,0.0
11a_9,,-4,65,1,{4},65,0.0
11a_11,,0,113,1,{0},113,0.0
11a_12,,-2,103,1,{2},103,0.0
11a_14,,0,133,1,{0},133,0.0
11a_15,,2,107,1,{-2},107,0.0
11a_16,,0,105,1,{0},105,0.0
11a_17,,-2,123,1,{2},123,0.0
11a_18,,-2,127,1,{2},127,0.0
11a_19,,-2,155,1,{2},155,0.0
11a_20,,-4,113,1,{4},113,0.0
11a_21,,-2,75,1,{2},75,0.0
11a_22,,-4,101,1,{4},101,0.0
11a_23,,-2,103,1,{2},103,0.0
11a_24,,0,157,1,{0},157,0.0
11a_25,,-2,155,1,{2},155,0.0
11a_26,,0,157,1,{0},157,0.0
11a_27,,2,143,1,{-2},143,0.0
11a_28,,0,121,1,{0},121,0.0
11a_31,,-4,125,1,{4},125,0.0
11a_32,,-2,139,1,{2},139,0.0
11a_33,,2,95,1,{-2},95,0.0
11a_34,,-2,119,1,{2},119,0.0
11a_35,,0,121,1,{0},121,0.0
11a_37,,0,93,1,{0},93,0.0
11a_39,,0,101,1,{0},101,0.0
11a_40,,-4,89,1,{4},89,0.0
11a_41,,-2,115,1,{2},115,0.0
11a_42,,-2,107,1,{2},107,0.0
11a_44,,0,117,1,{0},117,0.0
11a_45,,-2,87,1,{2},87,0.0
11a_46,,-2,87,1,{2},87,0.0
11a_47,,0,117,1,{0},117,0.0
11a_48,,4,113,1,{-4},113,0.0
11a_49,,-4,105,1,{4},105,0.0
11a_50,,-2,83,1,{2},83,0.0
11a_51,,2,115,1,{-2},115,0.0
11a_53,,4,97,1,{-4},97,0.0
