Alternating,Fibered,Crossing Number,Unknotting Number,Genus-3D,Crosscap Number,Bridge Index,Braid Index,Braid Length,Signature,Nakanishi Index,Arc Index,Tunnel Number,Morse-Novikov Number,Genus-4D,Genus-4D (Top.),Concordance Genus,Determinant,Rasmussen s,Ozsvath-Szabo tau,Volume,Arf Invariant,Turaev Genus,Small or Large,Positive Braid,Positive,SQ-Positive,Q-Positive,Width,L-space,Epsilon,Quasialternating,Almost Alternating,Double Slice Genus
1.0,0.0,9.0,3.0,1.0,3.0,3.0,5.0,14.0,-2.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,27.0,2.0,1.0,7.940579248,1.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,1.0,1.0,0.0,2.0
1.0,1.0,9.0,2.0,3.0,3.0,3.0,4.0,9.0,4.0,1.0,11.0,1.0,0.0,2.0,2.0,3.0,37.0,-4.0,-2.0,9.884578653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,4.0
1.0,0.0,9.0,3.0,2.0,4.0,3.0,4.0,11.0,-4.0,2.0,11.0,2.0,2.0,2.0,2.0,2.0,57.0,4.0,2.0,12.9328587,0.0,0.0,1.0,0.0,1.0,1.0,1.0,18.0,0.0,1.0,1.0,0.0,4.0
1.0,0.0,9.0,1.0,2.0,4.0,3.0,5.0,12.0,2.0,1.0,11.0,2.0,2.0,1.0,1.0,2.0,55.0,-2.0,-1.0,12.81031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,-1.0,1.0,0.0,2.0
1.0,1.0,9.0,2.0,3.0,4.0,3.0,4.0,9.0,-2.0,2.0,11.0,2.0,0.0,1.0,1.0,3.0,75.0,2.0,1.0,15.01834286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,2.0
1.0,0.0,9.0,2.0,2.0,3.0,3.0,5.0,12.0,0.0,2.0,11.0,2.0,2.0,0.0,0.0,0.0,49.0,0.0,0.0,12.09893603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,9.0,1.0,2.0,3.0,3.0,4.0,9.0,2.0,1.0,8.0,1.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,4.056860224,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,2.0
0.0,1.0,9.0,2.0,3.0,3.0,3.0,4.0,9.0,-4.0,1.0,9.0,1.0,0.0,2.0,2.0,3.0,13.0,4.0,2.0,5.904085859,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,1.0,4.0
0.0,1.0,9.0,1.0,2.0,3.0,3.0,4.0,9.0,0.0,1.0,9.0,1.0,0.0,1.0,1.0,2.0,17.0,0.0,0.0,7.406767572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,2.0
0.0,1.0,9.0,1.0,2.0,3.0,3.0,4.0,9.0,2.0,1.0,9.0,1.0,0.0,1.0,1.0,2.0,23.0,-2.0,-1.0,8.602031166,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,-1.0,1.0,1.0,2.0
