Name,Two-Bridge Notation,Signature,Determinant,Planar Support,Delta Values,Size of Homology,Parity,d_1 Lee Grading,d_{-1} Lee Grading
10_66,,-6,75,1,{6},75,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
10_67,,-2,63,1,{2},63,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_68,,0,57,1,{0},57,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
10_69,,2,87,1,{-2},87,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_70,,2,67,1,{-2},67,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
10_71,,0,77,1,{0},77,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_72,,-4,73,1,{4},73,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_73,,2,83,1,{-2},83,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_74,,-2,63,1,{2},63,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_75,,0,81,1,{0},81,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_76,,-4,57,1,{4},57,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_77,,2,63,1,{-2},63,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_78,,-4,69,1,{4},69,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_79,,0,61,1,{0},61,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_80,,-6,71,1,{6},71,False,"[(-6, 6, 6)]","[(6, 6, -6)]"
10_81,,0,85,1,{0},85,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_82,,-2,63,1,{2},63,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_83,,2,83,1,{-2},83,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_84,,-2,87,1,{2},87,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_85,,4,57,1,{-4},57,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
10_86,,0,85,1,{0},85,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
10_87,,0,81,1,{0},81,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
10_88,,0,101,1,{0},101,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_89,,2,99,1,{-2},99,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_90,,0,77,1,{0},77,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
10_91,,0,73,1,{0},73,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_92,,-4,89,1,{4},89,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_93,,2,67,1,{-2},67,False,"[(2, -2, -2), (-2, 2, -2)]","[(2, 2, -6), (-2, -2, 2)]"
10_94,,-2,71,1,{2},71,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_95,,2,91,1,{-2},91,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_96,,0,93,1,{0},93,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_97,,-2,87,1,{2},87,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_98,,-4,81,1,{4},81,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_99,,0,81,1,{0},81,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_100,,4,65,1,{-4},65,False,"[(4, -4, -4)]","[(-4, -4, 4)]"
10_101,,-4,85,1,{4},85,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_102,,0,73,1,{0},73,False,"[(0, 0, 0), (-4, 4, 0)]","[(4, 4, -8), (0, 0, 0)]"
10_103,,2,75,1,{-2},75,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_104,,0,77,1,{0},77,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_105,,-2,91,1,{2},91,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_106,,-2,75,1,{2},75,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_107,,0,93,1,{0},93,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_108,,-2,63,1,{2},63,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_109,,0,85,1,{0},85,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_110,,-2,83,1,{2},83,False,"[(2, -2, 2), (-2, 2, 2)]","[(2, 2, -2), (-2, -2, 6)]"
10_111,,-4,77,1,{4},77,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_112,,2,87,1,{-2},87,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_113,,-2,111,1,{2},111,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_114,,0,93,1,{0},93,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
10_115,,0,109,1,{0},109,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_116,,2,95,1,{-2},95,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_117,,2,103,1,{-2},103,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_118,,0,97,1,{0},97,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_119,,0,101,1,{0},101,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
10_120,,-4,105,1,{4},105,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_121,,-2,115,1,{2},115,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_122,,0,105,1,{0},105,False,"[(4, -4, 0), (0, 0, 0)]","[(0, 0, 0), (-4, -4, 8)]"
10_123,,0,121,1,{0},121,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_126,,2,19,1,{-2},19,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_127,,-4,29,1,{4},29,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_129,,0,25,1,{0},25,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_130,,0,17,1,{0},17,False,"[(0, 0, 0), (4, -4, 0)]","[(-4, -4, 8), (0, 0, 0)]"
10_131,,-2,31,1,{2},31,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_133,,-2,19,1,{2},19,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_135,,0,37,1,{0},37,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_137,,0,25,1,{0},25,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_140,,0,9,1,{0},9,True,"[(-4, 4, 0), (0, 0, 0)]","[(0, 0, 0), (4, 4, -8)]"
10_141,,0,21,1,{0},21,False,"[(-4, 4, 0), (0, 0, 0)]","[(0, 0, 0), (4, 4, -8)]"
10_143,,2,27,1,{-2},27,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_144,,-2,39,1,{2},39,False,"[(-2, 2, 2)]","[(2, 2, -2)]"
10_146,,0,33,1,{0},33,False,"[(0, 0, 0)]","[(0, 0, 0)]"
10_147,,-2,27,1,{2},27,False,"[(-2, 2, 2), (2, -2, 2)]","[(-2, -2, 6), (2, 2, -2)]"
10_148,,2,31,1,{-2},31,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
10_149,,-4,41,1,{4},41,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_150,,-4,29,1,{4},29,False,"[(-4, 4, 4)]","[(4, 4, -4)]"
10_151,,2,43,1,{-2},43,False,"[(2, -2, -2)]","[(-2, -2, 2)]"
