Name,Two-Bridge Notation,Signature,Determinant
10_14,57/22,-4,57
10_15,43/19,2,43
10_16,47/33,-2,47
10_17,41/9,0,41
10_18,55/23,-2,55
10_19,51/14,-2,51
10_20,35/16,-2,35
10_21,45/16,-4,45
10_22,49/36,0,49
10_23,59/23,2,59
10_24,55/24,-2,55
10_25,65/24,-4,65
10_26,61/44,0,61
10_27,71/27,2,71
10_28,53/19,0,53
10_29,63/26,-2,63
10_30,67/26,-2,67
10_31,57/25,0,57
10_32,69/29,0,69
10_33,65/18,0,65
10_34,37/13,0,37
10_35,49/20,0,49
10_36,51/20,-2,51
10_37,53/23,0,53
10_38,59/25,-2,59
10_39,61/22,-4,61
10_40,75/29,2,75
10_41,71/26,-2,71
10_42,81/31,0,81
10_43,73/27,0,73
10_44,79/30,-2,79
10_45,89/34,0,89
10_46,,-6,31
10_47,,4,41
10_48,,0,49
10_49,,-6,59
10_50,,-4,53
10_51,,2,67
10_52,,-2,59
10_53,,-4,73
10_54,,2,47
10_55,,-4,61
10_56,,-4,65
10_57,,2,79
10_58,,0,65
10_59,,-2,75
10_60,,0,85
10_61,,-4,33
10_62,,4,45
10_63,,-4,57
10_64,,-2,51
10_65,,2,63
10_66,,-6,75
10_67,,-2,63
10_68,,0,57
10_69,,2,87
10_70,,2,67
10_71,,0,77
10_72,,-4,73
10_73,,2,83
10_74,,-2,63
10_75,,0,81
10_76,,-4,57
10_77,,2,63
10_78,,-4,69
10_79,,0,61
10_80,,-6,71
10_81,,0,85
10_82,,-2,63
10_83,,2,83
10_84,,-2,87
10_85,,4,57
10_86,,0,85
10_87,,0,81
10_88,,0,101
10_89,,2,99
10_90,,0,77
10_91,,0,73
10_92,,-4,89
10_93,,2,67
10_94,,-2,71
10_95,,2,91
10_96,,0,93
10_97,,-2,87
10_98,,-4,81
10_99,,0,81
10_100,,4,65
10_101,,-4,85
10_102,,0,73
10_103,,2,75
10_104,,0,77
10_105,,-2,91
10_106,,-2,75
10_107,,0,93
10_108,,-2,63
10_109,,0,85
10_110,,-2,83
10_111,,-4,77
10_112,,2,87
10_113,,-2,111
10_114,,0,93
10_115,,0,109
10_116,,2,95
10_117,,2,103
10_118,,0,97
10_119,,0,101
10_120,,-4,105
10_121,,-2,115
10_122,,0,105
10_123,,0,121
10_124,,-8,1
10_125,,2,11
10_126,,2,19
10_127,,-4,29
10_128,,-6,11
10_129,,0,25
10_130,,0,17
10_131,,-2,31
10_132,,0,5
10_133,,-2,19
10_134,,-6,23
10_135,,0,37
10_136,,2,15
10_137,,0,25
10_138,,-2,35
10_139,,-6,3
10_140,,0,9
10_141,,0,21
10_142,,-6,15
10_143,,2,27
10_144,,-2,39
10_145,,2,3
10_146,,0,33
10_147,,-2,27
10_148,,2,31
10_149,,-4,41
10_150,,-4,29
10_151,,2,43
10_152,,-6,11
10_153,,0,1
10_154,,-4,13
10_155,,0,25
10_156,,2,35
10_157,,4,49
10_158,,0,45
10_159,,-2,39
10_160,,-4,21
10_161,,-4,5
10_162,,2,35
10_163,,-2,51
10_164,,0,45
10_165,,2,39
11a_1,,-2,127
11a_2,,-4,137
11a_3,,2,115
11a_4,,0,97
11a_5,,0,125
11a_6,,-2,135
11a_7,,2,95
11a_8,,0,117
11a_9,,-4,65
11a_10,,-2,107
11a_11,,0,113
11a_12,,-2,103
